122	2	3	9	3	2	3	4	3	2	8	2	3	4	0	1	1	3	9	1	0	1	3	0	12	3	0	3	0	0	
125	8	7	9	18	31	12	3	17	6	10	22	3	7	6	21	11	7	18	24	22	18	7	6	4	20	1	1	1	7	
129	10	36	16	27	31	34	30	41	28	24	36	20	28	23	45	43	29	24	34	15	13	17	24	13	23	13	8	6	33	
136	12	8	6	8	19	9	14	13	13	7	8	6	5	8	8	3	6	3	8	6	6	19	6	9	6	12	10	6	7	
138	18	16	9	12	15	26	32	30	21	45	30	10	13	5	9	3	10	8	11	3	9	9	36	23	14	0	6	8	1	
139	21	27	15	8	20	10	9	9	7	13	11	6	6	5	17	13	8	8	9	7	7	11	11	5	13	6	5	12	7	
150	27	21	19	19	27	17	15	27	5	26	15	32	19	12	30	30	28	20	8	23	14	28	32	21	15	24	9	12	24	
153	21	7	20	14	15	14	5	10	9	11	17	12	6	7	15	12	2	18	10	8	13	12	6	30	21	7	11	13	4	
156	12	11	6	7	6	3	3	3	8	5	4	5	3	8	9	1	9	3	3	4	0	4	3	0	2	0	1	2	3	
158	20	28	20	23	21	22	19	26	11	26	14	24	4	12	15	26	23	18	24	20	6	31	10	22	20	23	5	10	21	
163	3	4	4	4	4	1	6	1	1	4	2	2	0	3	2	2	3	0	1	4	8	0	1	2	3	2	0	1	1	
167	10	8	11	10	5	7	7	6	25	31	9	21	14	16	21	18	22	33	3	14	11	9	27	5	8	6	2	10	7	
170	33	27	33	11	38	24	14	18	20	12	35	7	10	13	18	22	3	7	0	3	0	15	11	5	7	0	8	0	0	
181	14	5	17	2	12	1	2	9	10	7	5	3	7	18	11	11	16	2	11	19	13	7	6	7	11	6	10	6	12	
196	11	13	5	11	9	9	7	13	13	11	7	4	3	7	5	7	6	8	6	12	4	4	9	14	6	6	4	6	4	
216	18	23	21	23	31	15	33	17	26	16	13	22	17	18	15	10	18	21	16	12	29	13	19	14	8	7	5	13	21	
223	4	4	6	5	9	10	4	3	4	8	5	9	6	3	7	5	7	4	4	1	0	11	7	4	5	3	5	3	3	
235	9	8	25	6	9	3	8	14	13	13	10	12	23	13	17	18	15	17	12	10	14	4	15	22	12	5	22	4	13	
237	13	7	16	11	10	6	6	15	10	7	10	9	10	14	13	18	10	16	8	8	8	5	12	20	12	7	6	14	13	
238	14	12	17	13	5	10	8	12	8	6	7	12	8	15	12	17	18	12	12	10	8	23	19	12	17	8	9	18	11	
263	16	10	2	7	12	6	5	10	10	10	3	8	2	9	6	3	7	3	7	6	8	5	3	7	2	5	2	2	5	
274	16	9	21	23	20	6	7	17	24	12	26	25	18	12	8	14	23	10	16	11	14	6	11	7	4	3	8	0	8	
276	8	3	6	4	4	5	10	6	6	12	9	18	4	2	7	5	5	10	9	2	4	5	10	5	4	2	3	1	11	
278	6	8	6	6	7	4	5	6	9	10	8	1	10	6	6	6	6	3	4	5	3	8	5	5	3	2	1	4	6	
290	15	7	7	4	9	1	3	2	5	15	8	3	2	5	5	7	3	3	4	4	3	3	3	4	7	3	5	2	3	
296	13	7	26	6	11	12	5	9	7	11	8	9	9	8	11	11	8	16	11	2	4	17	17	18	18	12	4	14	26	
307	8	8	9	7	11	4	6	4	3	3	9	8	9	5	3	10	10	5	10	8	8	10	10	16	8	9	4	1	7	
330	9	2	7	3	3	3	4	1	4	8	1	0	4	5	4	5	4	4	6	7	0	5	10	7	0	0	3	5	7	
333	9	17	10	11	12	6	10	15	7	21	14	11	7	3	6	11	5	7	12	1	1	2	4	3	2	9	2	3	1	
338	14	6	9	8	9	4	11	11	10	12	16	15	15	9	12	19	8	10	4	8	8	11	12	16	15	11	5	6	13	
341	13	11	4	12	11	10	9	7	9	14	16	7	11	13	7	11	8	9	4	5	5	5	7	4	6	9	5	2	6	
343	6	6	5	11	5	6	10	11	4	8	6	10	6	9	5	4	6	5	13	9	7	5	6	6	4	6	5	4	8	
361	18	11	12	13	11	6	5	8	10	6	18	13	11	11	7	13	10	4	3	7	3	4	15	9	3	6	5	6	6	
372	10	11	13	7	6	8	6	12	11	3	7	12	7	5	9	8	4	2	4	1	3	4	12	10	1	1	2	1	5	
378	22	22	15	19	4	5	23	20	14	15	10	12	22	8	23	9	9	8	22	15	4	11	10	5	5	6	1	2	0	
384	6	15	19	4	5	5	15	4	16	8	7	5	3	7	7	3	4	11	9	7	3	4	4	5	6	1	3	2	3	
415	0	10	5	6	6	3	4	3	10	4	2	4	2	3	1	2	6	6	7	10	2	6	1	5	2	2	2	2	3	
430	2	7	6	7	3	1	4	3	6	5	4	3	6	6	2	15	3	6	3	9	12	3	4	6	7	11	2	5	5	
431	15	5	6	7	4	4	4	5	2	3	4	5	6	8	6	4	6	3	7	4	11	5	15	11	3	3	1	2	6	
442	13	7	4	5	6	5	3	5	14	1	11	9	11	9	7	7	11	9	9	10	10	5	13	9	5	9	5	8	11	
455	3	3	2	9	2	3	2	1	3	5	4	3	1	1	4	6	2	1	6	3	4	5	6	1	3	2	3	3	1	
475	11	12	5	7	15	7	3	6	6	6	4	3	4	2	1	11	8	6	4	5	2	0	6	6	7	4	2	1	4	
486	2	9	4	13	9	8	6	7	5	13	4	8	9	9	9	13	5	5	8	7	13	15	13	16	7	8	11	9	3	
499	0	0	5	2	6	1	2	1	4	0	1	3	1	1	4	3	4	2	4	3	2	2	5	2	1	0	1	0	1	
506	1	7	4	3	8	6	7	2	4	6	4	3	4	3	4	2	5	7	0	2	7	2	4	4	0	2	2	10	1	
511	4	8	10	3	2	1	6	4	4	2	4	5	1	1	4	5	4	5	0	0	2	2	10	5	0	1	0	0	4	
515	8	7	13	10	2	2	6	4	6	7	5	5	2	4	4	6	6	4	3	8	1	10	10	5	1	0	2	2	5	
538	4	5	6	4	3	4	1	4	1	4	5	5	4	2	9	2	4	8	5	3	1	5	3	2	4	1	1	1	7	
596	6	12	9	8	8	5	4	4	7	10	4	8	5	6	5	4	8	1	4	4	7	8	6	8	4	5	0	3	3	
610	3	9	3	1	1	1	1	6	0	4	5	7	2	1	6	4	8	5	2	4	1	4	3	1	1	0	1	0	0	
650	7	11	11	15	3	12	2	9	8	5	7	5	4	5	11	5	4	7	4	5	3	6	5	12	4	3	8	3	4	
661	7	6	9	2	9	2	3	5	7	4	3	11	6	3	4	2	4	9	2	5	7	5	4	6	11	5	2	2	5	
669	5	0	3	1	1	2	7	3	4	3	3	2	0	5	4	0	2	5	6	2	1	2	1	2	1	2	1	1	1	
672	5	3	10	6	3	4	2	5	1	9	4	3	2	2	7	7	3	2	3	1	2	5	4	0	4	1	1	1	0	
716	5	7	3	5	5	3	0	3	3	7	0	3	5	2	2	4	3	1	1	1	3	1	4	0	3	2	0	0	4	
720	3	3	6	4	0	3	4	6	4	3	5	2	2	5	5	1	6	1	4	3	3	1	8	1	4	6	3	2	2	
801	5	1	7	2	2	3	2	3	8	4	3	4	2	1	3	3	6	4	5	1	5	2	5	3	2	0	3	1	2	
829	1	0	2	3	0	0	0	2	2	2	1	0	1	0	2	0	0	1	2	0	0	0	4	4	0	0	0	0	0	
848	2	7	8	7	5	6	6	3	8	12	1	6	2	6	8	7	11	13	4	8	9	13	11	6	7	1	3	6	3	
865	4	0	5	3	5	8	5	4	9	5	6	3	5	12	9	9	5	8	9	2	3	3	7	6	3	5	2	0	7	
922	8	6	4	7	1	3	1	7	4	5	6	3	6	3	3	5	4	8	6	3	2	6	2	7	6	1	2	1	5	
949	0	0	5	0	3	3	2	2	1	3	1	0	3	1	1	5	2	1	2	2	1	0	5	1	1	1	0	0	1	
962	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	
964	4	3	1	2	2	4	1	5	3	2	3	2	1	2	5	3	2	1	2	1	1	4	5	1	1	4	2	1	4	
